gmt,ERA5 wind speed (m/s),MERRA2 wind speed (m/s),HRRR wind speed (m/s),MERRA2 air density (kg/m^3),ERA5 density-corrected wind speed (m/s),MERRA2 density-corrected wind speed (m/s),HRRR density-corrected wind speed (m/s),ERA5 CF (raw),ERA5 CF (density adjusted),ERA5 CF (density and loss adjusted),MERRA2 CF (raw),MERRA2 CF (density adjusted),MERRA2 CF (density and loss adjusted),HRRR CF (raw),HRRR CF (density adjusted),HRRR CF (density and loss adjusted)
2021032705,10.275294699546729,8.589530635062054,17.455192886275096,1.2216624290602849,10.265954368143982,8.581722677716648,17.43932596556635,0.8406912058742666,0.8384161197691444,0.7797269913853042,0.48562974557660965,0.4842667587529341,0.4503680856402287,1.0,1.0,1.0
2021032706,9.726550473505151,7.679761479942776,16.014339690243062,1.2262562127208163,9.729874131236944,7.682385729792778,16.01981194724476,0.7114555952901798,0.7122010508958541,0.6623469773331442,0.34282300334913174,0.343189394003133,0.31916613642291364,1.0,1.0,1.0
2021032707,9.260848794644566,6.834112213578561,12.73378002539378,1.229197761333966,9.271414920531093,6.841909564725584,12.748308577337903,0.6121151591767102,0.6142587272990498,0.5712606163881163,0.23750887837311385,0.23836972413692425,0.22168384344733955,1.0,1.0,0.9929526401654613
2021032708,8.694792585858579,6.210493585750774,12.387604062422511,1.2321393099471154,8.711650985119142,6.22253515884638,12.41162248185045,0.5042415919045746,0.5072635397276359,0.4717550919467014,0.17470370440824823,0.17580708364625863,0.16350058779102053,1.0,1.0,0.9835254294918127
2021032709,7.94004260612418,5.525315910803903,12.326165150371194,1.2350808585602648,7.961763390099775,5.5404309673909955,12.359884613069317,0.38042322466849665,0.38367725643000306,0.35681984847990283,0.11865318220311405,0.11975010686101228,0.11136759938074142,1.0,1.0,0.9820767691659409
2021032710,6.876896573962855,4.817610965660062,8.889463286066643,1.2367130682992449,6.898745331638482,4.832917116251694,8.917706219069157,0.2422562894706628,0.24470330704684162,0.22757407555356268,0.07389413152934043,0.07473250517144336,0.06950122980944233,0.5398364103468714,0.5451288514353116,0.5069698318348398
2021032711,6.07909297135247,3.675870328597576,8.057133220638685,1.2383452780382251,6.101088713777758,3.6891705852835006,8.086286028112193,0.16293391898433018,0.16486972416932222,0.15332884347746964,0.02478962017328623,0.025220762219190895,0.023455308863847533,0.39817905161704825,0.4026818774102976,0.37449414599157677
2021032712,5.126384868608117,4.260492521510524,6.332451669450913,1.2399774877772052,5.147192911093109,4.277785899137602,6.358155147974146,0.09187742142813704,0.09317280918284165,0.08665071254004274,0.046801159864760855,0.047548187482999715,0.04421981435918973,0.18607313011822235,0.18852463652220042,0.17532791196564637
2021032713,5.508440292993831,4.197202450872851,6.452268616435745,1.232381451825991,5.519482167933159,4.205615900432525,6.46520243060965,0.11743574101688026,0.11823145989674444,0.10995525770397233,0.04411529387011992,0.04446800992701405,0.04135524923212307,0.19766698326491117,0.19894392420713647,0.18501784951263692
2021032714,4.497583942257164,3.772182223694757,5.524962626549087,1.2247854158747769,4.497321311924005,3.7719619522141428,5.524640003826769,0.057548477600483317,0.057535954943432444,0.05350843809739217,0.02798574578933799,0.0279782407013629,0.026019763852267494,0.11862761722420956,0.11860427395787454,0.11030197478082332
